,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
49,RR Rossouw (DC),2023-2023,9,9,2,209,82*,29.85,141,148.22,-,1,2,17,11
50,HC Brook (SRH),2023-2023,11,11,2,190,100*,21.11,154,123.37,1,-,3,23,4
51,RA Jadeja (CSK),2023-2023,16,12,4,190,25*,23.75,133,142.85,-,-,-,11,9
52,KH Pandya (LSG),2023-2023,15,14,4,188,49*,18.80,165,113.93,-,-,3,15,6
53,A Taide (PBKS),2023-2023,7,7,0,186,66,26.57,129,144.18,-,2,1,20,6
54,Abdul Samad (SRH),2023-2023,9,8,4,169,37*,42.25,128,132.03,-,-,-,10,11
55,MK Pandey (DC),2023-2023,10,9,0,160,50,17.77,146,109.58,-,1,2,15,3
56,AT Rayudu (CSK),2023-2023,16,12,2,158,27*,15.80,113,139.82,-,-,1,10,9
57,M Shahrukh Khan (PBKS),2023-2023,14,13,6,156,41*,22.28,94,165.95,-,-,-,13,9
58,DC Jurel (RR),2023-2023,13,11,4,152,34*,21.71,88,172.72,-,-,1,11,9
59,Q de Kock (LSG),2023-2023,4,4,0,143,70,35.75,102,140.19,-,1,-,10,8
60,KD Karthik (RCB),2023-2023,13,13,1,140,30,11.66,104,134.61,-,-,4,13,5
61,Sikandar Raza (PBKS),2023-2023,7,7,2,139,57,27.80,98,141.83,-,1,-,10,6
62,MK Lomror (RCB),2023-2023,12,10,2,135,54*,16.87,97,139.17,-,1,1,9,8
63,Rashid Khan (GT),2023-2023,17,9,5,130,79*,32.50,60,216.66,-,1,2,8,13
64,MR Marsh (DC),2023-2023,9,9,0,128,63,14.22,97,131.95,-,1,2,11,7
65,MM Ali (CSK),2023-2023,15,10,3,124,23,17.71,91,136.26,-,-,-,12,6
66,MW Short (PBKS),2023-2023,6,6,0,117,36,19.50,92,127.17,-,-,-,15,4
67,A Manohar (GT),2023-2023,9,6,0,114,42,19.00,83,137.34,-,-,-,6,7
68,SN Thakur (KKR),2023-2023,11,10,2,113,68,14.12,70,161.42,-,1,2,13,4
69,Aman Hakim Khan (DC),2023-2023,11,9,1,110,51,13.75,101,108.91,-,1,1,7,6
70,PP Shaw (DC),2023-2023,8,8,0,106,54,13.25,85,124.7,-,1,2,16,1
71,Anmolpreet Singh (SRH),2023-2023,4,4,0,105,36,26.25,82,128.04,-,-,-,15,2
72,MS Dhoni (CSK),2023-2023,16,12,8,104,32*,26.00,57,182.45,-,-,1,3,10
73,PN Mankad (LSG),2023-2023,5,5,2,93,64*,31.00,72,129.16,-,1,1,12,2
74,Anuj Rawat (RCB),2023-2023,9,7,4,91,29*,30.33,71,128.16,-,-,-,6,4
